metric,model_name,num_layers,num_parameters,layer_num,degradation_rel
residual_l2,burgers1d-2-120-120-120-1-tanh,3,29521,2,0.9585028822892284
residual_l2,burgers1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,0.8873064608803859
residual_l2,burgers1d-2-50-50-50-50-50-1-tanh,5,10401,2,220.5930121974196
residual_l2,burgers1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,3,29.074181590480435
residual_l2,burgers1d-2-85-85-85-85-85-1-tanh,5,29581,2,0.34854035720130255
residual_linf,burgers1d-2-120-120-120-1-tanh,3,29521,2,0.9585028822892284
residual_linf,burgers1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,0.8873064608803859
residual_linf,burgers1d-2-50-50-50-50-50-1-tanh,5,10401,2,220.5930121974196
residual_linf,burgers1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,3,29.074181590480435
residual_linf,burgers1d-2-85-85-85-85-85-1-tanh,5,29581,2,0.34854035720130255
ic_l2,burgers1d-2-120-120-120-1-tanh,3,29521,2,0.12183127811879774
ic_l2,burgers1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,1.9316637106412662
ic_l2,burgers1d-2-36-36-36-36-36-1-tanh,5,5473,3,0.26262818519365005
ic_l2,burgers1d-2-50-50-50-50-50-1-tanh,5,10401,2,42.581301589106765
ic_l2,burgers1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,3,43.099665876158895
ic_linf,burgers1d-2-120-120-120-1-tanh,3,29521,2,0.12183127811879774
ic_linf,burgers1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,1.9316637106412662
ic_linf,burgers1d-2-36-36-36-36-36-1-tanh,5,5473,3,0.26262818519365005
ic_linf,burgers1d-2-50-50-50-50-50-1-tanh,5,10401,2,42.581301589106765
ic_linf,burgers1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,3,43.099665876158895
bc_value_l2,burgers1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,6,1.0218209703350363
bc_value_l2,burgers1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,4,0.2590281421020556
bc_value_l2,burgers1d-2-50-50-50-50-50-1-tanh,5,10401,2,8.903432968972812
bc_value_l2,burgers1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,3,40.6388107494082
bc_value_l2,burgers1d-2-85-85-85-85-85-1-tanh,5,29581,2,1.3885116221930072
bc_value_linf,burgers1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,6,1.0218209703350363
bc_value_linf,burgers1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,4,0.2590281421020556
bc_value_linf,burgers1d-2-50-50-50-50-50-1-tanh,5,10401,2,8.903432968972812
bc_value_linf,burgers1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,3,40.6388107494082
bc_value_linf,burgers1d-2-85-85-85-85-85-1-tanh,5,29581,2,1.3885116221930072
ncc_compactness,burgers1d-2-46-46-46-1-tanh,3,4509,3,0.2411849206266713
ncc_compactness,burgers1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,3,0.37193598337912864
probe_rel_l2,burgers1d-2-50-50-50-50-50-1-tanh,5,10401,2,23.41218923492896
probe_rel_l2,burgers1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,3,9.342879752369573
probe_linf,burgers1d-2-50-50-50-50-50-1-tanh,5,10401,2,34.17224605639006
probe_linf,burgers1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,3,10.409033313451719
