metric,model_name,num_layers,num_parameters,layer_num,degradation_rel
probe_rel_l2,burgers2d-3-100-100-100-100-100-1-tanh,5,40901,5,3.364862432547741
probe_rel_l2,burgers2d-3-140-140-140-1-tanh,3,40181,3,0.5961350013354378
probe_rel_l2,burgers2d-3-36-36-36-36-36-1-tanh,5,5509,4,0.14027174872453316
probe_rel_l2,burgers2d-3-58-58-58-58-58-58-58-1-tanh,7,20823,6,0.3220168474795925
probe_rel_l2,burgers2d-3-58-58-58-58-58-58-58-1-tanh,7,20823,7,2.551188629634714
probe_rel_l2,burgers2d-3-70-70-70-70-70-1-tanh,5,20231,5,1.0027071274857953
probe_rel_l2,burgers2d-3-70-70-70-70-70-70-70-1-tanh,7,30171,3,10.793486380660804
probe_rel_l2,burgers2d-3-70-70-70-70-70-70-70-1-tanh,7,30171,6,0.26409514766708
probe_rel_l2,burgers2d-3-80-80-80-80-80-80-80-1-tanh,7,39281,3,1.3221423352449415
probe_rel_l2,burgers2d-3-80-80-80-80-80-80-80-1-tanh,7,39281,6,23.219352223188846
probe_rel_l2,burgers2d-3-85-85-85-85-85-1-tanh,5,29666,5,2.975631144911435
probe_linf,burgers2d-3-100-100-100-100-100-1-tanh,5,40901,5,2.291061728628145
probe_linf,burgers2d-3-140-140-140-1-tanh,3,40181,3,0.9258892806024918
probe_linf,burgers2d-3-36-36-36-36-36-1-tanh,5,5509,4,0.22023692574400464
probe_linf,burgers2d-3-58-58-58-58-58-58-58-1-tanh,7,20823,4,0.22859162251819576
probe_linf,burgers2d-3-58-58-58-58-58-58-58-1-tanh,7,20823,6,0.39999591020409797
probe_linf,burgers2d-3-58-58-58-58-58-58-58-1-tanh,7,20823,7,0.8803212317308212
probe_linf,burgers2d-3-70-70-70-70-70-1-tanh,5,20231,5,1.7178032679902613
probe_linf,burgers2d-3-70-70-70-70-70-70-70-1-tanh,7,30171,3,12.550781597704848
probe_linf,burgers2d-3-70-70-70-70-70-70-70-1-tanh,7,30171,6,0.9334319718233968
probe_linf,burgers2d-3-80-80-80-80-80-80-80-1-tanh,7,39281,3,3.398134000616795
