metric,model_name,num_layers,num_parameters,layer_num,degradation_rel
residual_l2,schrodinger-2-100-100-100-100-100-2-tanh,5,40902,2,0.3896741002378493
residual_l2,schrodinger-2-100-100-100-2-tanh,3,20702,2,0.6138521733242526
residual_l2,schrodinger-2-140-140-140-2-tanh,3,40182,2,1.1114475495919236
residual_l2,schrodinger-2-70-70-70-70-70-70-70-2-tanh,7,30172,3,0.3170996732544674
residual_linf,schrodinger-2-100-100-100-100-100-2-tanh,5,40902,2,0.3711730693251509
residual_linf,schrodinger-2-100-100-100-2-tanh,3,20702,2,0.5595823535142421
residual_linf,schrodinger-2-140-140-140-2-tanh,3,40182,2,1.0475729216221408
residual_linf,schrodinger-2-70-70-70-70-70-70-70-2-tanh,7,30172,3,0.3293697411757901
ic_l2,schrodinger-2-140-140-140-2-tanh,3,40182,2,0.6974732261863216
ic_linf,schrodinger-2-140-140-140-2-tanh,3,40182,2,0.4899117178390028
bc_value_l2,schrodinger-2-140-140-140-2-tanh,3,40182,2,0.4750240349277084
bc_value_l2,schrodinger-2-40-40-40-40-40-40-40-2-tanh,7,10042,2,0.7457248691897624
bc_value_l2,schrodinger-2-85-85-85-85-85-2-tanh,5,29667,5,0.1070150992323825
bc_value_linf,schrodinger-2-140-140-140-2-tanh,3,40182,2,0.2672844352391454
bc_value_linf,schrodinger-2-40-40-40-40-40-40-40-2-tanh,7,10042,2,0.8897805764789491
ncc_compactness,schrodinger-2-40-40-40-40-40-40-40-2-tanh,7,10042,2,0.38515769061514415
bc_derivative_l2,schrodinger-2-58-58-58-58-58-58-58-2-tanh,7,20824,6,0.20862730208881816
bc_derivative_l2,schrodinger-2-70-70-70-70-70-2-tanh,5,20232,4,0.1462934553559361
bc_derivative_l2,schrodinger-2-70-70-70-70-70-70-70-2-tanh,7,30172,3,2.095311597874371
bc_derivative_linf,schrodinger-2-70-70-70-70-70-2-tanh,5,20232,4,0.10439422044209841
bc_derivative_linf,schrodinger-2-70-70-70-70-70-70-70-2-tanh,7,30172,3,2.3388578905471493
