metric,model_name,num_layers,num_parameters,layer_num,degradation_rel
probe_rel_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,0.3931065790711776
probe_rel_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,3,0.2710354650816695
probe_rel_l2,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,2.624109991381061
probe_rel_l2,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,7.45495771621349
probe_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,3,0.23939203551795482
probe_linf,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,1.3173195121672867
probe_linf,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,7.3894156754645
residual_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,1.1490787055771248
residual_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,4,0.13573732139032496
residual_l2,wave1d-2-36-36-36-36-36-1-tanh,5,5473,3,0.2281265033303869
residual_l2,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,5,0.1129928077890467
residual_l2,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,4.626047626405604
residual_l2,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,9.883634122221983
residual_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,1.1490787055771248
residual_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,4,0.13573732139032496
residual_linf,wave1d-2-36-36-36-36-36-1-tanh,5,5473,3,0.2281265033303869
residual_linf,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,5,0.1129928077890467
residual_linf,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,4.626047626405604
residual_linf,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,9.883634122221983
ic_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,2.037555734793041
ic_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,3,0.4492138563613763
ic_l2,wave1d-2-36-36-36-36-36-1-tanh,5,5473,3,0.7446086437370395
ic_l2,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,3,0.2821052929432957
ic_l2,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,3.5400683774593005
ic_l2,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,5.532727674223564
ic_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,2.037555734793041
ic_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,3,0.4492138563613763
ic_linf,wave1d-2-36-36-36-36-36-1-tanh,5,5473,3,0.7446086437370395
ic_linf,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,3,0.2821052929432957
ic_linf,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,3.5400683774593005
ic_linf,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,5.532727674223564
bc_value_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,0.836922713875789
bc_value_l2,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,5,0.3607683194337062
bc_value_l2,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,1.2600722167561156
bc_value_l2,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,8.480602580940799
bc_value_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,0.836922713875789
bc_value_linf,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,5,0.3607683194337062
bc_value_linf,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,1.2600722167561156
bc_value_linf,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,8.480602580940799
ncc_accuracy,wave1d-2-36-36-36-36-36-1-tanh,5,5473,3,0.27281845536609833
ncc_accuracy,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,5,0.12480499219968792
ncc_accuracy,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,6,0.14795008912655983
ncc_accuracy,wave1d-2-46-46-46-1-tanh,3,4509,2,0.12017167381974259
ncc_accuracy,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,5,0.12444160816847469
ncc_accuracy,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,6,0.18075801749271136
ncc_compactness,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,5,0.19451266392916514
